y true,y pred
1.2,1.8101819457413004
2.29,3.61025547825776
0.74,1.2534376614298628
1.46,2.4152139273832303
2.6,2.0278434191212087
4.17,3.739983111124399
5.98,4.605078408571419
3.306,4.203900671151398
3.3,3.236152987833311
2.6,2.208984967729364
0.6,3.205672783038927
0.163,1.9468309675289728
0.17,-0.525673324688952
0.77,-0.3218463712897308
2.05,1.9641421887109685
1.3,-0.0667892351835572
2.6,2.3488631632295283
1.0,1.0775012994219408
6.17,4.514193581931075
1.8,3.8253792816109993
1.32,1.8043662653909136
13.105,7.554557237886128
0.26,3.5539302696415405
1.7,1.1697273508674295
1.12,0.656409462358934
0.29,0.9145194128638846
0.3,0.5312254409735284
1.85,3.2074881826780657
0.41,0.9043591963206068
0.8,0.0999460766575566
0.6,1.2451245833305429
0.7,1.5376744633246788
1.2,1.5181304688680193
1.45,1.4333671377679102
0.59,-0.1668163093097627
1.055,0.580724353654873
1.1,3.028887291112726
1.0,1.0414134577948726
0.04,3.3683245050031774
2.67,1.9721164088077576
1.36,1.427026162812234
0.3,2.3558768985526584
0.15,3.285847207037774
2.67,1.6640133221903148
2.25,1.2362484150999022
0.93,0.9264539381375124
2.215,2.067028285321004
