y true,y pred
1.2,2.248188221820969
2.29,2.2546981676709126
0.74,1.840253665160675
1.46,2.1004395806120035
2.6,2.1005999587511157
4.17,2.3612486756994064
5.98,2.382684794180397
3.306,2.7231115356220914
3.3,2.360988471103288
2.6,2.713330239184115
0.6,2.7638146352226456
0.163,2.3619500355936216
0.17,1.9096277723734416
0.77,2.2223259225670926
2.05,1.840114609883872
1.3,2.075089945638424
2.6,2.116524982944227
1.0,1.8922030002338508
6.17,2.378188753654969
1.8,2.189045874615263
1.32,2.3409116140063184
13.105,2.989367409321604
0.26,2.74336610131699
1.7,2.0488878867276736
1.12,2.0490412569313694
0.29,1.9894538576426413
0.3,1.9097507199423505
1.85,2.6566980631585784
0.41,2.100979125023915
0.8,2.20507271087778
0.6,1.874818268520223
0.7,1.866171136993833
1.2,1.8402749363202977
1.45,2.1006804778384143
0.59,2.1011048953280578
1.055,1.840225158439574
1.1,2.1167044630075984
1.0,1.979314401525201
0.04,2.7417127283398526
2.67,2.1166037787063723
1.36,2.1009469157723464
0.3,2.63478179146428
0.15,2.757664962496518
2.67,1.840002396939936
2.25,1.840130205443016
0.93,1.8398738192393365
2.215,2.326801807798085
