y true,average predicted values,error bar values
3.4850000000000003,3.5253056250000054,0.09173644284569848
3.9,3.788093333333331,0.05936603255590268
0.95,0.9955237500000008,0.09471759863442188
0.13,0.38032875,0.04521372624625681
0.064,0.340339375,0.07667160437483177
0.82,1.1381968749999982,0.1331509814334701
0.4,0.5053012499999994,0.021923434583307665
1.919,1.6761450000000007,0.10556075539030385
9.7,8.444258541666674,0.1800881612746929
4.1,3.429142500000002,0.06744024985125767
3.1,2.702485833333332,0.12561495586317795
2.5,2.074144583333333,0.09919842603378007
2.6,2.765626041666665,0.08750187943077978
1.215,1.306061458333335,0.05597984437757637
4.0,3.6195822916666667,0.1526524618727899
2.48,2.5188693749999977,0.06867761029840515
1.77,1.6717004166666678,0.05461587560458588
0.48,0.5613827083333327,0.052415202507656494
2.4,2.1199245833333356,0.08529447200006508
0.93,1.9780345833333368,0.34264406912675166
8.0,6.748855625,0.2131528649222284
2.0,2.136281666666667,0.11749550692861711
7.0,7.403909791666668,0.18358419919912872
9.06,8.488461874999986,0.16725257969262888
5.13,4.912348124999997,0.23882507900938527
3.88,3.811498749999998,0.18858229393007314
3.6,3.5046575000000018,0.11508072104893577
3.4,3.06126625,0.11601059458237825
2.89,3.0875937499999955,0.16204540754170527
0.67,0.9372000000000007,0.14837057789775684
0.015,0.1589212500000001,0.042735098468020774
1.9625,2.0784179166666688,0.07543342887516802
2.755,2.817924374999998,0.08701349835503779
1.2,1.3995137500000006,0.06288555405283211
0.21,0.5353310416666671,0.05903872235450201
0.145,0.26361458333333315,0.043101876950162946
6.244999999999999,4.945520000000002,0.1666950212832854
3.7,3.562096458333329,0.1633630091540646
2.26,2.622968124999997,0.08862604035002894
10.0,9.9985875,0.1720527530190332
7.7,7.526815625000005,0.3433204614854096
6.0,5.476508125,0.10998431800350653
4.87,4.631510000000002,0.10127033351381871
4.07,3.9462493749999963,0.13713662549853348
0.46,0.8196343749999994,0.06401311352469077
1.0,0.913393125,0.07032315433246623
5.7,5.1727506249999955,0.15253430242870258
3.5615,3.476489166666669,0.11880858491040487
1.75,2.3246124999999997,0.10587980840826738
1.0,1.2260375,0.05749575968491944
2.4175,2.361444374999998,0.12374946142559574
0.45,0.5407350000000005,0.054425638325543334
1.714,1.3202543749999993,0.06077753675950991
1.517,1.352603124999999,0.18186109451873833
0.13,0.4103818750000001,0.06872925827048296
0.52,0.8184362500000002,0.06484208635215236
1.25,1.0203650000000002,0.06819693693372796
4.85,5.369965000000006,0.18219682002870385
0.7,1.0519081250000013,0.07012455133227993
2.68,2.4350131250000033,0.10792698222599766
1.12,1.5376047916666682,0.1296045581314273
1.75,1.718856875,0.04368722360938537
1.4,1.1782737500000011,0.05411230806321787
0.15,0.23632249999999982,0.05091081186040644
0.47,1.264508333333333,0.1711316018819974
0.045,0.23884625000000037,0.05213060903360229
0.2,0.3299812499999999,0.038179957882750276
0.23,0.6915647321428566,0.1575305327601856
0.2,0.30464124999999975,0.04890394329338763
0.35,0.5457981250000005,0.08621192650081604
0.9,0.9473375000000005,0.07124370398247765
0.015,0.2439037500000001,0.12357090202303188
0.02,0.23604874999999975,0.04303583803479544
0.55,0.7476964583333323,0.0636906728266324
7.18,6.870884999999996,0.12286720264462044
8.1,8.201850000000007,0.07183258313606761
10.0,9.625074999999999,0.10132376325423355
3.5,3.097373958333334,0.1326585837569314
0.6,1.2550456249999986,0.35175344749490844
0.55,1.0853224999999986,0.17477596467641499
