y true,y pred
3.4850000000000003,2.6241143553463884
4.19,3.4048735857550936
3.9,2.6812929704807216
0.85,0.9344454478102686
0.95,1.3378745035454123
0.13,1.0090258692385081
0.064,0.8734050275846315
2.5,1.8540017900640828
0.82,2.3157239540527037
0.4,1.4570262029897882
5.74,2.859388144623968
2.45,2.3736489286654727
1.919,1.7029773524153364
4.1,2.4642492382156176
3.1,1.8723216964631895
1.2,1.3138431891434057
4.0,2.6700206583233803
2.43,2.032122357479076
2.48,2.1689374371620604
1.77,1.4401948157266475
0.48,1.1960773007496703
2.4,1.912409162756464
0.93,2.2372875171206474
2.0,2.295212491733416
3.88,2.62946159233211
3.6,2.1361886408717536
3.4,1.9327573783909393
10.48,3.038307358655618
3.61,2.013452489825008
2.89,1.8100212273441936
0.67,1.906203173259089
0.015,0.519892014994817
2.66,3.5026513964182695
1.9625,3.1420265461168078
2.755,2.352440188663945
1.2,1.7145418878196403
0.21,1.1226143460672127
0.145,0.878496831090235
6.244999999999999,2.3923011687719997
3.7,4.0759838526019365
2.26,3.6913173456137107
4.5,2.339904478390292
10.0,5.225734336669642
7.7,3.2648726085590956
4.07,2.0365864772476705
0.46,2.0658006310774635
0.9,2.2582340332268753
1.0,1.2260763142411784
4.47,3.3481172038518547
6.0,4.590713109479163
3.5615,3.0275617813616664
0.6,0.9824299354900785
1.75,2.312340767773377
1.785,1.918939165709698
1.0,2.0926184859642927
2.4175,1.780758850403123
0.45,1.031168439141318
1.714,1.793886820800329
1.517,1.084054636461952
0.13,1.1558628143193967
0.2,0.838282344659961
0.52,1.5715805252005084
1.25,1.033936171326376
4.85,5.274438591345142
0.7,2.669987558821297
1.75,1.7208012278210525
1.4,1.4766837128440753
0.15,1.2259922151359057
0.25,1.2479549586377807
0.47,2.312214619115468
0.045,1.667627785351176
0.2,1.0942068330127794
0.23,2.8245706783136386
0.2,1.1686142032833837
1.68,2.6746570197543598
0.025,1.4448311771576274
0.55,1.3778390091863706
7.18,3.7953187605644487
10.0,4.72726568978493
3.5,2.4350109012087113
0.55,2.4502727519258123
1.6,2.573248326638586
3.07,2.4947463125769076
4.17,2.7368172325298015
1.4,1.893232056007349
2.023,1.840327147256461
1.21,1.4859392023429585
1.23,1.1570905680360544
1.08,1.0214697263821781
3.08,2.8705423002062513
2.91,2.2326439993619465
3.5,2.167575186063462
2.4,2.5369585489917617
1.07,1.599386555539322
0.9,1.433433954103764
3.26,2.8442038625541572
1.66,1.6143780199574245
0.9,1.3883100618728235
1.25,2.866832603220614
1.645,2.4600122222737872
1.78,1.9667392708134306
0.6,1.9709668605641932
0.2,1.2953050675494593
0.4,1.988167919017979
1.2,2.093393032366871
0.1,1.7715970639715066
0.9,1.942719810508153
0.46,1.1644540804453092
2.34,2.647774912410645
0.6,1.173831554836935
1.42,1.3982686021019055
0.1,1.0012930150276111
3.24,2.403654956661791
2.5,1.9179157407032956
2.5,1.996834575714964
0.725,1.2472441644531593
2.05,1.5035616242546075
1.42,1.300130361773793
4.54,2.7375609886901806
3.59,2.0996626878458757
1.225,1.2636176311164706
0.63,1.579004019534836
3.6,2.181127136092879
1.54,2.5843903740947214
0.335,1.540858436992524
1.225,1.3895149384264451
1.5,3.191000405546933
1.58,2.0259167866810235
3.54,2.1876029032438566
1.315,1.5326438352206666
2.4325,1.5299056346300475
0.8,1.202174022328415
0.84,1.329212572739852
0.3,1.258663951322295
2.43,1.9461458874417603
2.8,2.087353199673701
1.665,1.2884486188279514
3.59,3.108786509559404
2.13,2.7882310870692155
2.48,1.9533447263347008
1.269,1.4217628089644472
0.175,0.7250585950232757
1.79,2.5593116017151702
2.84,2.862086304732884
1.3,4.016071389824138
0.356,1.11408024784342
2.4,2.119466602403305
1.351,1.6337273864448094
0.17,0.9630558101946729
3.1845,2.5102103052833917
1.565,1.8723120044390869
1.2,1.280384462686659
0.98,1.0362669477096818
0.9,1.8013494342245941
0.9,1.2150266829555476
7.6,3.8962870672282532
8.5,4.677046297636958
10.6,4.828233996448734
2.1,3.0341047860545647
1.9,2.569635310093784
1.4,2.7247007866342923
6.6,5.215574121006729
0.8,1.3958478259358418
1.05,2.8564439178763266
1.97,1.6266180752795938
0.1,1.3825005603026166
0.43,1.401424406860862
7.95,3.910069214970047
9.33,4.690828445378752
6.0,3.669652648102406
0.7,2.62239843353421
1.0,2.745374008246984
3.94,2.773179484189365
11.8,5.184765556320147
5.6,2.1785645692042426
1.086,2.402086082303958
0.0409999999999999,1.9838630703784732
0.1575,2.1762964725278855
2.55,2.2251572186331674
0.1,1.907576748973732
1.4,2.6408749295142795
0.82,2.1043376685141704
0.58,2.121803775574157
3.7,2.4394364502261885
6.2,1.9078545328559346
1.8,1.414581581395578
0.2,1.451197465413322
1.25,1.2111503189147639
0.6,1.7948496164618968
3.3083333333333336,2.8753107213072573
1.0699999999999998,1.9335920815459948
0.83,1.0046531296244332
7.5,3.8337032602641417
8.97,4.614462490672847
10.5,4.765650189484623
5.89,3.5932866933965006
2.4,2.9506597101024163
2.0,2.6218110757955118
2.3,2.4861902341416355
1.1,2.6308250761881258
0.25,2.8527898042463575
1.4,1.4863166458055435
0.12,2.0706216700293183
1.04,1.6825871789019076
6.15,5.28343157866539
