y true,average predicted values,error bar values
3.4850000000000003,3.588452571569695,
4.19,4.745371233677023,
3.9,3.816946814393911,
0.85,0.8880002228951757,
0.95,1.001095159951343,
0.13,0.7709269108567953,
0.064,0.6831341403038794,
2.5,1.8454209055922488,
0.82,2.523486544693459,
0.4,0.9299746048024612,
5.74,4.61872036915555,
2.45,2.542310224458564,
1.919,1.4696370568468076,
9.7,4.997698199007157,
4.1,3.5740538693137336,
3.1,3.0789605999082648,
2.5,2.707904365984696,
1.2,0.9845272261664963,
2.6,3.657296472001156,
1.215,1.5958764502122933,
4.0,3.76881034013182,
2.43,2.3515300948870026,
2.48,2.703960352759763,
1.77,1.8301946714474704,
0.48,1.356052543668939,
2.4,2.0404048544994264,
0.93,2.946472916712048,
8.0,5.1008865557495096,
2.0,2.992640801414209,
7.0,5.2427436802262255,
9.06,8.494950755819502,
5.13,5.542027978717883,
3.88,4.587060166909509,
3.6,4.067222504741688,
3.4,3.3931371468126086,
10.48,5.576468038479927,
3.61,3.975341877262918,
2.89,3.2144389858575586,
0.67,1.7482661719697203,
0.015,-1.1631638978938967,
2.66,3.316166810959884,
1.9625,2.95809343445726,
2.755,2.846571265438996,
1.2,1.5192519356464371,
0.21,1.007107387321927,
0.145,0.3656512032098645,
6.244999999999999,4.340192035865092,
3.7,4.023194114930522,
2.26,3.624799437390447,
4.5,2.987780556150648,
10.0,8.766848651918774,
7.7,5.844368364715269,
6.0,4.725454139287768,
4.87,4.199887701262403,
4.07,3.4280517898809717,
0.46,1.4491055423654835,
1.9,2.216165666463908,
0.9,1.4466867605343037,
1.0,0.8738380352440579,
4.47,3.7745880018542657,
5.7,5.239538154380553,
6.0,6.871366210286962,
3.5615,3.371212003646339,
0.6,0.4698980760504216,
1.75,3.1561723648674813,
1.785,1.1252023583229465,
1.0,1.2354018806622469,
2.4175,1.9673376964771925,
0.45,0.4399118013278914,
1.714,1.191942741128503,
1.517,1.19540355739666,
0.13,0.7939402762080824,
0.2,-0.1747858273900704,
0.52,0.9506546475828748,
1.25,0.4725825798463178,
4.85,6.54593273062005,
0.7,1.1830289712134578,
2.68,2.0664359070410576,
1.12,1.0345966050689266,
1.75,0.6429218378901852,
1.4,0.4025560421437519,
0.15,0.4630369316875361,
0.25,0.5367869250907791,
0.47,1.9222278291841943,
0.045,0.6779732382065323,
0.2,0.6263577499929684,
0.23,2.380981899609916,
0.2,-0.0357470744085961,
0.35,0.4997190057844068,
1.68,1.826850094858792,
0.9,0.5805903201632026,
0.025,0.0617196682566367,
0.015,-0.0556350294681304,
0.02,-0.1333735066764569,
0.55,0.6748853631148871,
7.18,6.6221801574347054,
8.1,7.620243838045311,
10.0,8.513683369736071,
6.37,6.046064345887508,
3.5,2.523053668734254,
0.6,1.899009602123117,
0.55,1.579349413314789,
1.6,1.7404218179335276,
2.987,3.6845314765810726,
3.07,3.144571457005115,
4.17,3.8365890036705,
1.4,0.9126734412553976,
2.023,1.5875050763161618,
1.21,1.04002278024914,
1.23,0.8152761834326451,
1.08,0.7273478227499027,
1.0,0.7171668177028986,
3.08,2.3522676386932773,
2.91,1.5578659856640469,
3.5,2.70468692457298,
2.4,2.1506727764460014,
1.07,1.4013934755382562,
0.9,0.6365879597544112,
3.26,2.5318039427622665,
1.66,1.094310108047682,
0.9,0.7133701671857657,
0.9,0.6789599760373098,
1.25,2.329677735977121,
1.122,2.049443669094781,
1.645,1.493367031219846,
1.78,1.1963246539820225,
1.959,1.1503214273328892,
1.7,2.4865828129290595,
0.6,1.3196767923609187,
1.2,1.2650600364238824,
0.2,0.2209684687604732,
5.15,3.504049413590278,
0.4,0.1672146073488093,
1.2,1.404695235298493,
0.1,0.4603274648787787,
0.9,0.6055091000237588,
0.46,0.1978984248966901,
2.34,1.946845499414768,
0.6,0.0012845745306116,
1.42,1.1197697865435423,
0.1,-0.137856540090437,
3.24,3.330629069701476,
2.5,1.3050888188139012,
2.5,2.293430541945668,
0.725,0.7355825789316861,
2.05,1.8401677482629848,
1.42,1.4903876120697646,
4.54,3.900830410046242,
3.59,2.544719955513664,
1.225,1.534807346473572,
0.63,0.4850844548418891,
3.6,2.7152017019907198,
1.54,1.2734139731776413,
1.36,1.75496390220807,
0.335,1.3017161088985318,
1.05,1.1056057588284385,
1.225,1.0571980488160817,
1.5,3.144801414234341,
5.56,4.14357645972254,
1.58,2.170143454877396,
3.54,2.564882875947071,
1.315,1.7364792319569868,
2.4325,2.018195170406037,
0.8,0.0732702358139898,
0.84,1.480693478915755,
0.3,1.5324111485137222,
5.55,2.5880027647928627,
2.43,1.3066226311971785,
2.8,2.0288088527328365,
1.665,0.6514380511632668,
3.59,3.340119616077853,
2.13,2.9520916979616203,
2.48,2.101972813117943,
1.269,0.9776698551557929,
0.24,0.5397715936084395,
0.175,0.1398216878438856,
3.5,3.951446916424034,
1.79,2.088608834990842,
2.84,2.44640294858441,
1.3,3.3896450254501334,
0.356,0.5971345057359175,
2.4,2.5980970478748198,
1.351,0.7149893595376086,
1.86,1.588188576911931,
0.17,0.2893773946283096,
1.24,1.1437954940207964,
3.1845,3.3204955265963,
1.565,1.9608417293952956,
0.739,0.8448460682783615,
1.2,1.4140839838035857,
0.98,1.0329428569559462,
0.9,1.7897159833224114,
0.9,2.296196692076203,
7.6,6.86521664580199,
8.5,7.852900722197076,
10.6,8.703352401953959,
2.1,3.6530401903477214,
1.9,2.82807260823576,
1.4,1.96375169662049,
0.08,2.698103096884114,
6.6,6.929897322691407,
0.8,0.5986677385972181,
1.05,2.5492063848463338,
1.97,1.1790538671839617,
0.1,0.8514929710664408,
0.43,0.8386883680399027,
7.95,6.832644262265045,
9.33,7.703757669517737,
6.0,6.190784666899569,
0.7,1.659302619689799,
1.0,1.821590529650613,
3.94,1.719005842799075,
11.8,8.324388115405732,
7.77,5.281061404017873,
5.6,3.633724961068492,
4.7,2.981450628743538,
1.086,1.8481658986479828,
0.0409999999999999,1.1009914335916522,
1.435,1.8661155778686973,
0.1575,1.061235730962638,
2.55,1.851038954219106,
0.1,1.2140381310588924,
1.4,2.631167931126284,
0.82,1.5356046152510294,
0.58,1.8894213128209243,
10.05,7.0330550636231886,
4.04,3.820029414508778,
3.7,2.6446191555489627,
6.2,1.746275180916048,
1.8,1.3130023274009626,
0.2,1.733730238983635,
1.25,1.1369337241294453,
0.48,1.201757734976491,
0.6,1.2683537152535689,
3.3083333333333336,3.0928990007916948,
1.0699999999999998,0.8929379684303566,
0.83,-0.0383223486551003,
7.5,6.603827574093192,
8.97,7.577834726807112,
10.5,8.429399132807475,
5.89,5.97880115195512,
2.4,3.133955827502726,
2.0,2.828700529087683,
2.3,2.4241440824097604,
1.1,1.7456794195961536,
0.25,2.064722557274488,
1.4,0.0981531637032184,
3.48,2.5691080060528484,
0.12,0.1516043567153645,
1.04,0.9430991445389963,
4.9,2.807244892134797,
6.15,6.714855428675888,
0.3,0.8092794665698049,
0.97,1.9926287584894988,
3.0,1.430169986908381,
0.38,0.7605215693512053,
0.05,0.3624733990554688,
3.7,1.903916923595592,
0.5,0.3850051038372613,
0.12,0.6842885361170542,
0.5,1.7559876098262088,
0.23,0.0988010820284794,
0.9,0.6461010172051252,
1.2,0.762360847926494,
2.0,2.070440528348572,
0.2,0.1726776922394464,
0.965,1.4365337182969566,
0.23,1.058208026854392,
3.2,3.0305346684323013,
3.82,4.315667731054225,
2.32,2.683479191818685,
3.02,3.964370769364456,
2.512,1.7253148505981035,
0.27,0.2821070373889335,
0.31,-0.057460903200358,
1.67,2.6050994213483687,
2.12,2.3587209331599346,
1.5,1.3431757180493644,
0.65,0.0844267792648031,
0.5,0.1763824649598149,
0.75,1.3141657397193105,
0.2,-0.2033707212445318,
0.4,0.7002806999972744,
1.8,0.2526269271021799,
1.0,0.9646433078742762,
4.9,2.814021405803951,
5.9,6.70671075802669,
0.66,2.4654453082062817,
0.66,0.7195100404390926,
1.154,0.8070373431865214,
0.84,1.943443461906036,
1.8,0.9639246786602828,
1.3,0.7207199808636909,
0.55,-0.297603436596459,
0.2,2.2831772086479094,
0.8,-0.6805932551476349,
0.75,0.7996236304439254,
0.11,-0.659783297765128,
0.1,0.1798438805846781,
7.2,6.871778232905879,
8.29,7.893207327823349,
10.4,8.804482289491027,
5.83,6.365998419802009,
4.5,3.065704418352744,
1.0,2.070583491144509,
2.3,3.3463826169227,
1.1,1.2125492367488953,
0.99,0.5996812210469922,
0.12,0.459568004872539,
1.5,2.303183229737554,
0.8,1.5206071059401585,
0.8,0.4859237764124454,
1.0,0.4904457897149449,
1.8,1.6515121703817888,
0.3,0.0554519475127282,
1.0,1.0575619660773246,
0.25,0.6226589062857973,
3.82,3.459161970533919,
0.1,0.2896377837081021,
0.009,0.5449429621228512,
2.22,3.1604482701767607,
1.9,0.9832721401037636,
3.31,3.4118361790693967,
1.7,1.981538411480569,
0.3,0.9753542605880832,
2.6,2.812767318307668,
6.0,3.138391555252897,
2.0,2.124482367447538,
1.7266666666666666,2.8355683252795005,
0.64,2.326939354443548,
1.87,2.5866858827080343,
1.9,3.1726415373678662,
1.12,1.550860154098033,
2.53,2.80701895626312,
11.0,4.374677405541356,
1.89,1.5528576808144945,
1.72,2.2227448427042384,
0.59,0.2848453807646045,
2.015,1.8277782717976276,
1.98,1.8676870319852168,
5.0,3.918896423038272,
1.03,0.94229862377645,
4.9,2.7765019325872484,
1.09,0.7589746269458668,
0.22,1.038044502569762,
0.46,0.7651496443033451,
0.62,0.7380035240852562,
1.17,2.1436936610578856,
3.0,1.4808942159677432,
2.3,1.0161720688485834,
0.075,-0.764866170578301,
3.4,2.9963124339739964,
3.9,4.204890263033672,
2.4,2.6534912266990807,
2.38,2.979966999983482,
3.5,3.090859123644614,
1.08,0.7150260586553197,
2.475,1.656771690869106,
1.5,1.0851488098338624,
0.18,-0.0204473516985761,
5.77,5.715488206824054,
4.76,4.624046285860628,
4.42,4.11007803984648,
3.73,3.4202199086119824,
0.1,1.033205468904097,
4.6,2.836122873659252,
2.3,0.9941385385944068,
0.5,2.760020377183543,
0.95,2.2280829418159818,
0.4,2.510316233325355,
0.332,1.8276037489360009,
3.0,4.417411597050669,
4.625,3.072342622259125,
0.3,1.8109013671428944,
3.15,3.351963950046069,
1.24,2.2160448305013745,
0.9,2.6448834746513983,
0.69,1.58181721308508,
0.3,1.8630263323071283,
3.05,3.0232242841283448,
3.56,4.194102932153128,
3.58,3.719572449331148,
0.73,0.9342531603309724,
1.825,3.1628896806316185,
0.5,0.3790393613650308,
0.7,0.8282634838918136,
1.18,0.6473900466266681,
2.18,1.765728336636636,
1.5,0.439627630438091,
0.65,2.8940955385659644,
0.1,2.4028116503682284,
0.66,2.8940955385659644,
2.34,3.2724767976259628,
0.8,2.662785669343321,
2.8,3.2414711936486302,
1.1,1.0834881066162505,
1.35,0.4804297019479437,
0.05,0.1026662905008675,
1.9,2.5110201342930263,
5.6,2.8939728002740344,
1.02,0.8354664201235689,
1.0,0.5412660550814489,
2.99,3.105022146552457,
0.33,1.7042028507718303,
0.9,0.9180944691460072,
4.53,3.4118682604642254,
3.35,3.2085598823155017,
1.9275,1.1676083666125827,
3.87,2.0136675372341117,
0.745,0.5120368981676828,
1.15,1.0444723973221186,
0.22,0.5794903818879701,
1.2,0.5592453159569383,
