y true,y pred
1.2,1.6793255651297596
2.29,3.463148095494709
0.74,1.377351212242019
1.46,1.9981831197206923
2.6,1.887668257727258
4.17,2.692455989236306
5.98,3.6866187151958014
3.306,3.767731300236855
3.3,2.365456443436989
2.6,2.751847184197775
0.6,3.301395306720951
0.163,2.365650883595033
0.17,1.175959815432699
0.77,1.972734311242048
2.05,1.5458854901588863
1.3,1.3091513909017454
2.6,2.1143382066373526
1.0,0.3387646785696399
6.17,3.542162587397022
1.8,2.5113548401238064
1.32,2.2851945144316157
13.105,4.928880949073912
0.26,3.288524165651048
1.7,1.6021207371642456
1.12,1.4076378434833996
0.29,1.382486447898245
0.3,0.1329462952342881
1.85,2.9330736113782736
0.41,1.4215862668907089
0.8,1.1345341935346391
0.6,1.0908402573006355
0.7,1.2290667217430022
1.2,1.4718735656667856
1.45,2.0135504245900764
0.59,1.33813630272141
1.055,1.3589682946599684
1.1,2.729386965539372
1.0,1.554570768793763
0.04,3.400895891334057
2.67,2.0940203616733744
1.36,1.3649087853080275
0.3,2.967457585509751
0.15,3.3534684353306927
2.67,1.3823119494617462
2.25,1.2202428713943745
0.93,1.2465644565315055
2.215,2.310071180877819
