y true,average predicted values,error bar values
3.4850000000000003,3.011515318423774,
4.19,4.529884302355528,
3.9,4.007393527585437,
0.85,0.7482592502888121,
0.95,1.033428771351209,
0.13,0.7086763878993867,
0.064,0.4626502705640269,
2.5,2.138802345842671,
0.82,3.580249211726777,
0.4,0.8504702471474193,
5.74,4.3025063336682425,
2.45,2.436534075071502,
1.919,1.66858529459332,
9.7,4.529856837472396,
4.1,3.2807058421324493,
3.1,2.6961515519191703,
2.5,2.2533045407155203,
1.2,1.0519726240912892,
2.6,4.861691900322638,
1.215,1.697568582780268,
4.0,3.6603930600712897,
2.43,2.4112420647313435,
2.48,2.670150529615164,
1.77,1.8266877745180647,
0.48,1.383840763314415,
2.4,2.184697157958001,
0.93,3.9348663558595,
8.0,4.6571234778009645,
2.0,2.7911512192042256,
7.0,4.813550552778575,
9.06,8.878479757651606,
5.13,4.82394586594773,
3.88,3.7829867031644415,
3.6,3.2958581279867083,
3.4,2.926818951983668,
10.48,4.914479937879067,
3.61,3.386392199918045,
2.89,3.017353023915005,
0.67,2.70238732365714,
0.015,-1.524691573299214,
2.66,4.217525850975015,
1.9625,3.0660280823377977,
2.755,2.6297273811150896,
1.2,1.3805763857751427,
0.21,0.7960220955618627,
0.145,0.353175084358214,
6.244999999999999,3.685441371479703,
3.7,5.642366934882413,
2.26,4.414102648336049,
4.5,4.1007136923039065,
10.0,9.160895089806996,
7.7,5.247568864180819,
6.0,4.20660970139753,
4.87,3.719481126219797,
4.07,3.3504419502167555,
0.46,2.6346185383624627,
1.9,4.001443725180694,
0.9,2.888966171534852,
1.0,0.948365990653792,
4.47,4.33478312508166,
5.7,6.359275103657332,
6.0,7.7093467607431485,
3.5615,3.3112295529596887,
0.6,0.4929417821361928,
1.75,3.0702463705850445,
1.785,1.3453416296255662,
1.0,1.46617941079492,
2.4175,2.0292872078017554,
0.45,0.4263456226856907,
1.714,0.5548769143108316,
1.517,1.1731194566209815,
0.13,0.865480683903793,
0.2,-0.1651849950524071,
0.52,1.1036660672868583,
1.25,0.4713180656989919,
4.85,7.748952021137173,
0.7,1.3974286733075751,
2.68,2.738052260551767,
1.12,0.9566437138439146,
1.75,0.3720894236306358,
1.4,-0.0707575875730128,
0.15,0.4687065422040091,
0.25,0.6145230626758289,
0.47,2.3507571979103705,
0.045,0.5574550660154207,
0.2,0.8054640328542373,
0.23,2.9616788297930823,
0.2,-0.9010525119053758,
0.35,0.5706093205998155,
1.68,2.47414659227344,
0.9,1.224995596933493,
0.025,0.6404413067202142,
0.015,0.5188182185238541,
0.02,-0.1542786779700864,
0.55,0.2261583732097611,
7.18,4.929728295980402,
8.1,6.4480972799121545,
10.0,7.460651022726518,
6.37,4.162063116888923,
3.5,3.020267573972863,
0.6,3.058886855693606,
0.55,2.41472080634598,
1.6,2.8237783300689303,
2.987,3.05028742047376,
3.07,2.282622241382282,
4.17,4.02677957861043,
1.4,1.08794956010411,
2.023,1.7790976826067166,
1.21,1.0851249074178562,
1.23,0.7603725239660348,
1.08,0.5143464066306744,
1.0,0.1626573058513818,
3.08,2.9489408054793644,
2.91,1.6997898101394178,
3.5,3.2932458773346305,
2.4,2.411451802963924,
1.07,1.3766173630413037,
0.9,0.5243045978242906,
3.26,3.01701321290894,
1.66,1.1833079273557152,
0.9,0.7404609161520652,
0.9,0.6787019680584159,
1.25,2.5944843240896995,
1.122,2.6044640329141284,
1.645,1.5635048701308405,
1.78,1.0763762949531075,
1.959,0.7073371189500668,
1.7,3.163439229809561,
0.6,0.3065418786986953,
1.2,0.5447272620817607,
0.2,0.2003361674387849,
5.15,2.5631997297446825,
0.4,0.5973118064105589,
1.2,1.7106355459277338,
0.1,0.1548995038675831,
0.9,0.7075115871121853,
0.46,0.5690785443533688,
2.34,2.638429312088284,
0.6,0.3618770153314099,
1.42,1.1769792772355088,
0.1,-0.111352821459743,
3.24,3.340683265061079,
2.5,1.4747110064643396,
2.5,2.3097038111022203,
0.725,0.7067622259861568,
2.05,1.822575235924488,
1.42,1.4535360599214466,
4.54,3.760398382586666,
3.59,2.5112473872467187,
1.225,1.4838460858297906,
0.63,-0.4985148713754297,
3.6,3.0800279669021213,
1.54,1.6651891164501411,
1.36,2.420003063697915,
0.335,1.075647721669986,
1.05,1.063810172880637,
1.225,1.0598643232841882,
1.5,3.422727885590086,
5.56,3.958109252150856,
1.58,2.1965347067473497,
3.54,2.570163701773137,
1.315,1.7094061315696172,
2.4325,1.9206589348694936,
0.8,-0.2245245928330752,
0.84,1.340366955566576,
0.3,1.428606700198772,
5.55,2.820303374403353,
2.43,1.4323578240256356,
2.8,1.903623790975405,
1.665,0.7828530571219909,
3.59,3.740009291206172,
2.13,2.7164557190842027,
2.48,2.178085619771815,
1.269,1.1371264569885249,
0.24,0.6499978818107923,
0.175,0.2809587058077516,
3.5,4.062583757874469,
1.79,2.389726104006686,
2.84,2.999632653743151,
1.3,4.596267967550136,
0.356,0.6483517322924397,
2.4,2.81205572011801,
1.351,0.94608346152127,
1.86,1.781076266159151,
0.17,0.1781346810430877,
1.24,1.2939476909814185,
3.1845,3.3374963466322107,
1.565,2.088345351292264,
0.739,0.9442087408188088,
1.2,1.5037910610789846,
0.98,1.060944049875335,
0.9,1.9517813134553244,
0.9,1.905340815527468,
7.6,5.437011838910072,
8.5,6.955380822841828,
10.6,7.96793456565619,
2.1,4.267424131999608,
1.9,3.6966456312124256,
1.4,3.5847036444634384,
0.08,3.241348672250409,
6.6,8.165143477067957,
0.8,-0.4041094539057783,
1.05,2.8717010386731183,
1.97,1.0379957531198918,
0.1,0.5951487419162425,
0.43,0.5230103528057484,
7.95,5.272876781336762,
9.33,6.791245765268517,
6.0,4.505211602245285,
0.7,2.9294435343805207,
1.0,3.3385010581034704,
3.94,2.231262057489747,
11.8,8.725030374466751,
7.77,4.5937717911704485,
5.6,3.065684053209427,
4.7,2.6966448772063862,
1.086,2.884018283856399,
0.0409999999999999,1.7628891076819682,
1.435,3.129714294500201,
0.1575,2.0172367408543583,
2.55,2.693711188606278,
0.1,1.6630455096500776,
1.4,2.931896571989344,
0.82,2.317537547606798,
0.58,2.370928871875116,
10.05,7.397902281056318,
4.04,2.9997850732728573,
3.7,2.6030796510547973,
6.2,1.562120488271508,
1.8,1.0749919130937755,
0.2,1.4977161225522662,
1.25,0.7059527370907348,
0.48,1.0056638878815454,
0.6,0.8097775191598477,
3.3083333333333336,3.3057355185803905,
1.0699999999999998,1.2199218019323714,
0.83,0.0783648003580061,
7.5,5.180389752074797,
8.97,6.698758736006552,
10.5,7.711312478820917,
5.89,4.41272457298332,
2.4,3.9252613495525743,
2.0,3.6005089661007528,
2.3,3.354482848765392,
1.1,3.199770514210525,
0.25,2.588767088107557,
1.4,0.5513167708261955,
3.48,2.990277506576663,
0.12,0.7775015069108648,
1.04,-0.0070808292231316,
4.9,3.220437693231349,
6.15,8.128549263784606,
0.3,0.7146793654629264,
0.97,2.813150297419753,
3.0,1.5639993020798073,
0.38,0.6337332905538136,
0.05,0.381376894667536,
3.7,2.2197627266056603,
0.5,0.7783525336393105,
0.12,1.1788035638223708,
0.5,1.8916762731564851,
0.23,0.3226358126415967,
0.9,0.6056072902976284,
1.2,1.0025829292694026,
2.0,2.115906668786578,
0.2,-0.0213487780348407,
0.965,1.6474360825489514,
0.23,1.3497043533201196,
3.2,3.3251522815376258,
3.82,5.3496442601132985,
2.32,2.301598709415655,
3.02,4.284077684514468,
2.512,1.555800105268993,
0.27,0.0277123673079713,
0.31,-0.3413268086950691,
1.67,2.3245080876934514,
2.12,2.1048772355721783,
1.5,1.7330733920032726,
0.65,0.4538929772377194,
0.5,0.6921142292199844,
0.75,1.567216716754894,
0.2,0.2049856540422507,
0.4,0.91771194985125,
1.8,0.4256597151805288,
1.0,0.0036303598399571,
4.9,3.2234980329636604,
5.9,8.133904858316148,
0.66,3.251322710123736,
0.66,-0.4665866914093945,
1.154,0.7218201581716526,
0.84,2.8217192486702247,
1.8,0.9880139631169992,
1.3,0.5451669519133497,
0.55,-0.5758510436130573,
0.2,2.3223938852536103,
0.8,-0.2570383435985186,
0.75,0.9344483348758928,
0.11,-1.2028071119455266,
