AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSmagmom_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Polarizability_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,valence_composition_average
0.34615384615384615,0.24225352112676068,0.5748902649967288,0.3069497064986485,0.8269492832427484,0.35678809163549585,0.0,0.13638891979085543,0.7300454979497837,0.23741578226386395,0.15796875,0.7600000000000001,0.4245372432314364,0.09070294784580499,0.7051569506726458,0.8590905413059309,0.666283084004603,0.5602206337566508,0.22592045984154105,0.8509742372518789,0.0,0.1301775147928994,0.13970588235294118,0.08982322025800286,0.3868260403986784,0.053805639001786726,0.18005166844971904,0.23689584751531653,0.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.15297227649116113,0.777027027027027,0.30188679245283023,0.041666666666666664,0.24050632911392406,0.0,0.5,0.0,0.0,0.1,0.5,0.6666666666666666,0.5,0.14556637271095887,0.23157642399633518,0.1717557251908397,0.6305309734513274,0.7479669320625326,0.006844120530511829,0.3149757616846012,0.384180790960452,0.5833333333333334
0.15384615384615385,0.138341158059468,0.874972637036985,0.09050706803377218,0.5720358901090415,0.590240821681862,0.0,0.035320947825119575,0.38580576307363923,0.07534408985435763,0.078125,0.7600000000000001,0.2008379881995361,0.045351473922902494,0.3525784753363229,0.3467311271138442,0.7663981588032223,0.8157789934468093,0.8749999999999999,0.3490446204205483,0.0,0.12130177514792899,0.06985294117647059,0.2739608217869087,0.35993629931997706,0.018081755217843744,0.08795182787948039,0.21238938053097348,0.6911764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.75,0.25,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.058693069491263114,0.7533783783783783,0.37735849056603776,0.16666666666666666,0.14556962025316456,0.0,0.25,0.0,0.0,0.45,0.45,0.3333333333333333,0.75,0.10426087967903008,0.32857942706836785,0.08587786259541985,0.8838495575221239,0.3740436508397745,0.13653095577218327,0.38708411281648714,0.8912429378531073,0.5416666666666666
0.40598290598290593,0.3480438184663538,0.0008247743844974136,0.2634164842788833,0.6948723566491857,0.5515179491800836,0.0,0.11009752660659321,0.6013593214626748,0.3644946152919767,0.21635416666666668,0.6533333333333332,0.6292101448377261,0.13529856386999245,0.9402092675635276,0.6487741726676914,0.48293057153816643,0.38113917117013085,0.1330329863808192,0.7484579642995414,0.0,0.09270216962524654,0.14950980392156865,0.10345596432552952,0.29195534850800686,0.061167314602108724,0.23616332544343083,0.19469026548672566,0.3447712418300653,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.22070631201737334,0.6846846846846848,0.546470999301188,0.06944444444444445,0.2531645569620253,0.0,0.6666666666666667,0.0,0.0,0.13333333333333333,0.26666666666666666,0.8888888888888888,0.33333333333333326,0.16694602748938991,0.22080542753138935,0.22900763358778625,0.7581120943952803,0.9975812169465914,0.026439269220571823,0.29060491291028,0.512241054613936,0.38888888888888884
0.48290598290598286,0.3751695357329161,0.0008256584531903203,0.29163211841743275,0.69947091501824,0.48672250311674725,0.0,0.12697000037082357,0.7336778445580332,0.38385971505224437,0.2169791666666667,0.6533333333333332,0.710480322383643,0.1360544217687075,1.0,0.644356339509669,0.47832757959340244,0.36062117898847446,0.04827127889113286,0.7713665318302909,0.0,0.15187376725838264,0.3946078431372549,0.05414874980092371,0.30820390319205093,0.07539530606768634,0.2437935570156291,0.21329702745631948,0.37908496732026137,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2302669540496265,0.6891891891891893,0.5674353598881902,0.06944444444444445,0.379746835443038,0.0,1.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.8888888888888888,0.33333333333333326,0.17289812337970512,0.20675059068078935,0.24312977099236643,0.6755162241887905,0.9996396815249606,0.020273394868759367,0.27697776327839996,0.512241054613936,0.38888888888888884
0.5598290598290597,0.4169014084507042,0.0009668264152476182,0.3329122916128139,0.7024731121076542,0.5573039281970372,0.0,0.1571179589869099,0.7123081628040218,0.40827966355965706,0.2760416666666667,0.6533333333333332,0.750873789432523,0.15117157974300832,0.9402107623318386,0.6404644388704588,0.40928270042194104,0.3355387929369744,0.02803238223465037,0.7834160709631897,0.0,0.17948717948717946,0.3406862745098039,0.03898709985666507,0.3104431895491835,0.10600452900329203,0.25515942279504944,0.2319037894259133,0.45588235294117635,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25096116464310436,0.6936936936936939,0.5981830887491265,0.06944444444444445,0.379746835443038,0.0,1.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.8888888888888888,0.33333333333333326,0.18473390026504455,0.18974029748310053,0.2900763358778626,0.8790560471976401,1.0,0.013811558548059908,0.26725864907710895,0.512241054613936,0.38888888888888884
0.05128205128205128,0.23474178403755874,0.00029173370632132545,0.1406795123072021,0.4928933006333007,0.8873869689814722,0.0,0.060129046612526424,0.8857495927652642,0.7682522708479697,0.61875,0.68,0.19713365001508287,0.5799319727891157,0.4226457399103701,0.3705801440245975,0.33486766398158807,0.24313732094780993,0.1381078141991611,0.5287917117224179,0.0,0.23668639053254437,0.18382352941176472,0.3208791208791209,0.1670586943191075,0.25313782372229093,0.5571940979148906,0.08917631041524848,0.11029411764705882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4075012925639466,0.6824324324324325,0.48008385744234805,0.37499999999999994,0.012658227848101264,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.15233944734476582,0.21859211911145845,0.14885496183206107,0.8561946902654867,0.4602777939210786,0.010136697434379682,0.273870025538162,0.887005649717514,0.33333333333333337
0.5512820512820513,0.460093896713615,0.0011762146671541126,0.3835504889705169,0.5652897112368402,0.8063206802827703,0.0,0.19251307153187225,0.7968881649160253,0.4737621987486762,0.16718750000000002,0.7600000000000001,0.5092520653540713,0.11848072562358276,0.4327354260089687,0.47131644955093455,0.33026467203682386,0.19185145780035606,0.0,0.6771212121043038,0.0,0.378698224852071,0.4779411764705882,0.14811275680840902,0.29915523379797004,0.08522805364120084,0.32660401143154566,0.27705922396187876,0.30637254901960786,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.16265690640285563,0.777027027027027,0.6352201257861636,0.29166666666666663,0.5063291139240507,0.0,0.5,0.0,0.5,0.8,0.4,0.0,1.0,0.12534977115247448,0.13517928947545574,0.21755725190839695,0.5154867256637168,0.4269250886267216,0.013355283846025785,0.21080962600100933,0.7203389830508474,0.5
0.0641025641025641,0.215962441314554,0.5835045468190347,0.15646839047514605,0.5543529395233593,0.707577233935773,0.0,0.0649682945822672,0.583497163399427,0.2610197176404596,0.11875000000000001,0.7600000000000001,0.09229473722870002,0.07993197278911565,0.42264573991031396,0.3293146694716401,0.565017261219793,0.5590053980787052,0.5833333333333333,0.444657456792257,0.0,0.14201183431952663,0.07352941176470588,0.3235547061634018,0.3321404709823268,0.03905222261491037,0.20302848379472066,0.1906058543226685,0.47303921568627444,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.09731212636368891,0.75,0.44654088050314467,0.29166666666666663,0.05063291139240507,0.0,0.0,0.0,0.0,0.8,0.4,0.0,1.0,0.1325333351580273,0.2624018336964714,0.14885496183206107,0.9181415929203539,0.41324922415296095,0.09718651153326797,0.32238743583600526,0.8587570621468927,0.5
0.11538461538461539,0.32863849765258213,0.0009480992655160163,0.25319721688725083,0.5120491128112467,0.8787349121493658,0.0,0.10490599621759929,0.5555698210413975,0.31859881305924964,0.13593750000000002,0.7600000000000001,0.1699725256201463,0.08560090702947847,0.42264573991031396,0.42483210615745615,0.3693901035673187,0.35399718553807746,0.14726062865724196,0.5988525696391431,0.0,0.1834319526627219,0.4117647058823529,0.27176301958910654,0.28363276924062575,0.11715728141996032,0.20976609048225955,0.16541865214431586,0.09558823529411767,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.13182736543080875,0.7567567567567568,0.5094339622641509,0.29166666666666663,0.05063291139240507,0.0,0.0,0.0,0.0,0.8,0.4,0.0,1.0,0.15849678792095395,0.1651082107503082,0.14885496183206107,0.493362831858407,0.413613645609345,0.055381883427979506,0.2343648847724249,0.8587570621468927,0.5
0.12564102564102564,0.315492957746479,0.0009815774911605948,0.26593927779484117,0.6343758171800522,0.7748558473073561,0.0,0.11158082100344864,0.3813065213728023,0.2882992179399234,0.1094375,0.8240000000000002,0.16950349521458224,0.08979591836734695,0.3381165919282512,0.6187846913180678,0.5037974683544304,0.3918931897391299,0.23945937548547455,0.6664857691875266,0.0,0.09585798816568046,0.1102941176470588,0.2528810320114668,0.2705997565462517,0.037197630127034614,0.16869749113778063,0.22409802586793734,0.11274509803921567,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.1266739042490349,0.8108108108108107,0.49559748427672956,0.225,0.0810126582278481,0.0,0.0,0.0,0.0,0.6400000000000001,0.5599999999999999,0.0,1.0,0.14300081413754712,0.20949325417088774,0.11908396946564886,0.5752212389380531,0.3311259371186145,0.03776474722998095,0.2645753579675498,0.3141242937853107,0.6333333333333333
